address0 | address1 | in0 | in1 | in2 | in3 | out | out expected |
0        | 0        | 0   | 0   | 0   | 0   | 0   | 0            |
0        | 0        | 0   | 0   | 0   | 1   | 0   | 0            |
0        | 0        | 0   | 0   | 1   | 0   | 0   | 0            |
0        | 0        | 0   | 0   | 1   | 1   | 0   | 0            |
0        | 0        | 0   | 1   | 0   | 0   | 0   | 0            |
0        | 0        | 0   | 1   | 0   | 1   | 0   | 0            |
0        | 0        | 0   | 1   | 1   | 0   | 0   | 0            |
0        | 0        | 0   | 1   | 1   | 1   | 0   | 0            |
0        | 0        | 1   | 0   | 0   | 0   | 1   | 1            |
0        | 0        | 1   | 0   | 0   | 1   | 1   | 1            |
0        | 0        | 1   | 0   | 1   | 0   | 1   | 1            |
0        | 0        | 1   | 0   | 1   | 1   | 1   | 1            |
0        | 0        | 1   | 1   | 0   | 0   | 1   | 1            |
0        | 0        | 1   | 1   | 0   | 1   | 1   | 1            |
0        | 0        | 1   | 1   | 1   | 0   | 1   | 1            |
0        | 0        | 1   | 1   | 1   | 1   | 1   | 1            |
0        | 1        | 0   | 0   | 0   | 0   | 0   | 0            |
0        | 1        | 0   | 0   | 0   | 1   | 0   | 0            |
0        | 1        | 0   | 0   | 1   | 0   | 1   | 1            |
0        | 1        | 0   | 0   | 1   | 1   | 1   | 1            |
0        | 1        | 0   | 1   | 0   | 0   | 0   | 0            |
0        | 1        | 0   | 1   | 0   | 1   | 0   | 0            |
0        | 1        | 0   | 1   | 1   | 0   | 1   | 1            |
0        | 1        | 0   | 1   | 1   | 1   | 1   | 1            |
0        | 1        | 1   | 0   | 0   | 0   | 0   | 0            |
0        | 1        | 1   | 0   | 0   | 1   | 0   | 0            |
0        | 1        | 1   | 0   | 1   | 0   | 1   | 1            |
0        | 1        | 1   | 0   | 1   | 1   | 1   | 1            |
0        | 1        | 1   | 1   | 0   | 0   | 0   | 0            |
0        | 1        | 1   | 1   | 0   | 1   | 0   | 0            |
0        | 1        | 1   | 1   | 1   | 0   | 1   | 1            |
0        | 1        | 1   | 1   | 1   | 1   | 1   | 1            |
1        | 0        | 0   | 0   | 0   | 0   | 0   | 0            |
1        | 0        | 0   | 0   | 0   | 1   | 0   | 0            |
1        | 0        | 0   | 0   | 1   | 0   | 0   | 0            |
1        | 0        | 0   | 0   | 1   | 1   | 0   | 0            |
1        | 0        | 0   | 1   | 0   | 0   | 1   | 1            |
1        | 0        | 0   | 1   | 0   | 1   | 1   | 1            |
1        | 0        | 0   | 1   | 1   | 0   | 1   | 1            |
1        | 0        | 0   | 1   | 1   | 1   | 1   | 1            |
1        | 0        | 1   | 0   | 0   | 0   | 0   | 0            |
1        | 0        | 1   | 0   | 0   | 1   | 0   | 0            |
1        | 0        | 1   | 0   | 1   | 0   | 0   | 0            |
1        | 0        | 1   | 0   | 1   | 1   | 0   | 0            |
1        | 0        | 1   | 1   | 0   | 0   | 1   | 1            |
1        | 0        | 1   | 1   | 0   | 1   | 1   | 1            |
1        | 0        | 1   | 1   | 1   | 0   | 1   | 1            |
1        | 0        | 1   | 1   | 1   | 1   | 1   | 1            |
1        | 1        | 0   | 0   | 0   | 0   | 0   | 0            |
1        | 1        | 0   | 0   | 0   | 1   | 1   | 1            |
1        | 1        | 0   | 0   | 1   | 0   | 0   | 0            |
1        | 1        | 0   | 0   | 1   | 1   | 1   | 1            |
1        | 1        | 0   | 1   | 0   | 0   | 0   | 0            |
1        | 1        | 0   | 1   | 0   | 1   | 1   | 1            |
1        | 1        | 0   | 1   | 1   | 0   | 0   | 0            |
1        | 1        | 0   | 1   | 1   | 1   | 1   | 1            |
1        | 1        | 1   | 0   | 0   | 0   | 0   | 0            |
1        | 1        | 1   | 0   | 0   | 1   | 1   | 1            |
1        | 1        | 1   | 0   | 1   | 0   | 0   | 0            |
1        | 1        | 1   | 0   | 1   | 1   | 1   | 1            |
1        | 1        | 1   | 1   | 0   | 0   | 0   | 0            |
1        | 1        | 1   | 1   | 0   | 1   | 1   | 1            |
1        | 1        | 1   | 1   | 1   | 0   | 0   | 0            |
1        | 1        | 1   | 1   | 1   | 1   | 1   | 1            |
